,1,2,3,4,5,6,7
0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
1,14.0,14.0,14.0,14.0,14.0,14.0,14.0
2,14.0,14.0,14.0,14.0,14.0,14.0,14.0
3,14.0,14.0,14.0,14.0,14.0,14.0,14.0
4,14.0,14.0,14.0,14.0,14.0,14.0,14.0
5,14.0,14.0,14.0,14.0,14.0,14.0,14.0
6,14.0,14.0,14.0,14.0,14.0,14.0,14.0
7,14.0,14.0,14.0,14.0,14.0,14.0,14.0
8,14.0,14.0,14.0,14.0,14.0,14.0,14.0
9,14.0,14.0,14.0,14.0,14.0,14.0,14.0
10,14.0,14.0,14.0,14.0,14.0,14.0,14.0
11,14.0,14.0,14.0,14.0,14.0,14.0,14.0
12,14.0,14.0,14.0,14.0,14.0,14.0,14.0
13,14.0,14.0,14.0,14.0,14.0,14.0,14.0
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0
15,14.0,14.0,14.0,14.0,14.0,14.0,14.0
16,14.0,14.0,14.0,14.0,14.0,14.0,14.0
17,14.0,14.0,14.0,14.0,14.0,14.0,14.0
18,14.0,14.0,14.0,14.0,14.0,14.0,14.0
19,14.0,14.0,14.0,14.0,14.0,14.0,14.0
20,14.0,14.0,14.0,14.0,14.0,14.0,14.0
21,14.0,14.0,14.0,14.0,14.0,14.0,14.0
22,14.0,14.0,14.0,14.0,14.0,14.0,14.0
23,14.0,14.0,14.0,14.0,14.0,14.0,14.0
24,14.0,14.0,14.0,14.0,14.0,14.0,14.0
25,14.0,14.0,14.0,14.0,14.0,14.0,14.0
26,14.0,14.0,14.0,14.0,14.0,14.0,14.0
27,14.0,14.0,14.0,14.0,14.0,14.0,14.0
28,14.0,14.0,14.0,14.0,14.0,14.0,14.0
29,14.0,14.0,14.0,14.0,14.0,14.0,14.0
30,17.0,14.0,14.0,14.1,14.1,14.0,14.1
31,17.0,14.0,14.0,14.1,14.1,14.0,14.1
32,17.0,14.0,14.0,14.1,14.1,14.0,14.1
33,14.0,14.0,14.0,14.0,14.0,14.0,14.0
34,14.0,14.0,14.0,14.0,14.0,14.0,14.0
35,14.0,14.0,14.0,14.0,14.0,14.0,14.0
36,14.0,14.0,14.0,14.0,14.0,14.0,14.0
37,14.0,14.0,14.0,14.0,14.0,14.0,14.0
38,14.0,14.0,14.0,14.0,14.0,14.0,14.0
39,14.0,14.0,14.0,14.0,14.0,14.0,14.0
40,14.0,14.0,14.0,14.0,14.0,14.0,14.0
41,14.0,14.0,14.0,14.0,14.0,14.0,14.0
42,14.0,14.0,14.0,14.0,14.0,14.0,14.0
43,14.0,14.0,14.0,14.0,14.0,14.0,14.0
44,14.0,14.0,14.0,14.0,14.0,14.0,14.0
45,14.0,14.0,14.0,14.0,14.0,14.0,14.0
46,14.0,14.0,14.0,14.0,14.0,14.0,14.0
47,14.0,14.0,14.0,14.0,14.0,14.0,14.0
48,14.0,14.0,14.0,14.0,14.0,14.0,14.0
49,14.0,14.0,14.0,14.0,14.0,14.0,14.0
50,14.0,14.0,14.0,14.0,14.0,14.0,14.0
51,14.0,14.0,14.0,14.0,14.0,14.0,14.0
52,14.0,14.0,14.0,14.0,14.0,14.0,14.0
53,14.0,14.0,14.0,14.0,14.0,14.0,14.0
54,14.0,14.0,14.0,14.0,14.0,14.0,14.0
55,14.0,14.0,14.0,14.0,14.0,14.0,14.0
56,14.0,14.0,14.0,14.0,14.0,14.0,14.0
57,14.0,14.0,14.0,14.0,14.0,14.0,14.0
58,14.0,14.0,14.0,14.0,14.0,14.0,14.0
59,14.0,14.0,14.0,14.0,14.0,14.0,14.0
60,14.0,14.0,14.0,14.0,14.0,14.0,14.0
61,14.0,14.0,14.0,14.0,14.0,14.0,14.0
62,14.0,14.0,14.0,14.0,14.0,14.0,14.0
63,14.0,14.0,14.0,14.0,14.0,14.0,14.0
64,14.0,14.0,14.0,14.0,14.0,14.0,14.0
65,14.0,14.0,14.0,14.0,14.0,14.0,14.0
66,14.0,14.0,14.0,14.0,14.0,14.0,14.0
67,14.0,14.0,14.0,14.0,14.0,14.0,14.0
68,14.0,14.0,14.0,14.0,14.0,14.0,14.0
69,14.0,14.0,14.0,14.0,14.0,14.0,14.0
70,14.0,14.0,14.0,14.0,14.0,14.0,14.0
71,14.0,14.0,14.0,14.0,14.0,14.0,14.0
72,14.0,14.0,14.0,14.0,14.0,14.0,14.0
73,14.0,14.0,14.0,14.0,14.0,14.0,14.0
74,14.0,14.0,14.0,14.0,14.0,14.0,14.0
75,14.0,14.0,14.0,14.0,14.0,14.0,14.0
76,14.0,14.0,14.0,14.0,14.0,14.0,14.0
77,14.0,14.0,14.0,14.0,14.0,14.0,14.0
78,14.0,14.0,14.0,14.0,14.0,14.0,14.0
79,14.0,14.0,14.0,14.0,14.0,14.0,14.0
80,14.0,14.0,14.0,14.0,14.0,14.0,14.0
81,14.0,14.0,14.0,14.0,14.0,14.0,14.0
82,14.0,14.0,14.0,14.0,14.0,14.0,14.0
83,14.0,14.0,14.0,14.0,14.0,14.0,14.0
84,14.0,14.0,14.0,14.0,14.0,14.0,14.0
85,14.0,14.0,14.0,14.0,14.0,14.0,14.0
86,14.0,14.0,14.0,14.0,14.0,14.0,14.0
87,14.0,14.0,14.0,14.0,14.0,14.0,14.0
88,14.0,14.0,14.0,14.0,14.0,14.0,14.0
89,14.0,14.0,14.0,14.0,14.0,14.0,14.0
90,14.0,14.0,14.0,14.0,14.0,14.0,14.0
91,14.0,14.0,14.0,14.0,14.0,14.0,14.0
92,14.0,14.0,14.0,14.0,14.0,14.0,14.0
93,14.0,16.3,14.3,14.0,14.1,14.0,14.0
94,14.0,16.3,14.3,14.0,14.1,14.0,14.0
95,14.0,16.3,14.3,14.0,14.1,14.0,14.0
96,230.4,15.4,14.2,14.0,14.0,14.0,14.0
97,230.4,15.4,14.2,14.0,14.0,14.0,14.0
98,230.4,15.4,14.2,14.0,14.0,14.0,14.0
99,17.0,14.0,14.5,14.2,14.1,14.1,14.0
100,17.0,14.0,14.5,14.2,14.1,14.1,14.0
101,17.0,14.0,14.5,14.2,14.1,14.1,14.0
102,14.0,14.0,14.0,14.1,14.0,14.1,14.1
103,14.0,14.0,14.0,14.1,14.0,14.1,14.1
104,14.0,14.0,14.0,14.1,14.0,14.1,14.1
105,14.0,14.0,14.0,14.0,14.0,14.0,14.0
106,14.0,14.0,14.0,14.0,14.0,14.0,14.0
107,14.0,14.0,14.0,14.0,14.0,14.0,14.0
108,14.0,14.0,14.0,14.0,14.0,14.0,14.0
109,14.0,14.0,14.0,14.0,14.0,14.0,14.0
110,14.0,14.0,14.0,14.0,14.0,14.0,14.0
111,14.0,14.0,14.0,14.0,14.0,14.0,14.0
112,14.0,14.0,14.0,14.0,14.0,14.0,14.0
113,14.0,14.0,14.0,14.0,14.0,14.0,14.0
114,14.0,14.0,14.0,14.0,14.0,14.0,14.0
115,14.0,14.0,14.0,14.0,14.0,14.0,14.0
116,14.0,14.0,14.0,14.0,14.0,14.0,14.0
117,14.0,14.0,14.0,14.0,14.0,14.0,14.0
118,14.0,14.0,14.0,14.0,14.0,14.0,14.0
119,14.0,14.0,14.0,14.0,14.0,14.0,14.0
120,14.0,14.0,14.0,14.0,14.0,14.0,14.0
121,14.0,14.0,14.0,14.0,14.0,14.0,14.0
122,14.0,14.0,14.0,14.0,14.0,14.0,14.0
123,14.0,14.0,14.0,14.0,14.0,14.0,14.0
124,14.0,14.0,14.0,14.0,14.0,14.0,14.0
125,14.0,14.0,14.0,14.0,14.0,14.0,14.0
126,14.0,14.0,14.0,14.0,14.0,14.0,14.0
127,14.0,14.0,14.0,14.0,14.0,14.0,14.0
128,14.0,14.0,14.0,14.0,14.0,14.0,14.0
129,14.0,14.0,14.0,14.0,14.0,14.0,14.0
130,14.0,14.0,14.0,14.0,14.0,14.0,14.0
131,14.0,14.0,14.0,14.0,14.0,14.0,14.0
132,14.0,14.0,14.0,14.0,14.0,14.0,14.0
133,14.0,14.0,14.0,14.0,14.0,14.0,14.0
134,14.0,14.0,14.0,14.0,14.0,14.0,14.0
135,14.0,14.0,14.0,14.0,14.0,14.0,14.0
136,14.0,14.0,14.0,14.0,14.0,14.0,14.0
137,14.0,14.0,14.0,14.0,14.0,14.0,14.0
138,14.0,14.0,14.0,14.0,14.0,14.0,14.0
139,14.0,14.0,14.0,14.0,14.0,14.0,14.0
140,14.0,14.0,14.0,14.0,14.0,14.0,14.0
141,14.0,14.0,14.0,14.0,14.0,14.0,14.0
142,14.0,14.0,14.0,14.0,14.0,14.0,14.0
143,14.0,14.0,14.0,14.0,14.0,14.0,14.0
